query_id,gold_episode_id,query_text,query_style
Q0026_shorttext,A16840_E011,オーストラリアの人類学者ガッサン・ハージが「移動性への妬み」と呼ぶ現象があります この状況に近いエピソードはどれ？,shorttext
Q0026_comparison,A16840_E011,状況はcreative_activity / 嫉妬対象は承認・評価 / 比較の構図はself_vs_other / 嫉妬の構造はその他。この条件に合うエピソードはどれ？,comparison
Q0026_distance_effort,A16840_E011,心理的距離は中（知り合い・同業者） / 努力介入は可能（努力で変えられる） / 根源は関係的嫉妬 / 状況はcreative_activity。この条件に合うエピソードはどれ？,distance_effort
Q0026_behavior,A16840_E011,行動パターンは内省・葛藤型 / 状況はcreative_activity / 比較の構図はself_vs_other / 嫉妬の構造はその他。この条件に合うエピソードはどれ？,behavior
Q0027_shorttext,A16030_E015,社会人になればどの職場でも、仕事で自分の能力を認められたい、ライバルには絶対に負けたくないと思ってい... この状況に近いエピソードはどれ？,shorttext
Q0027_comparison,A16030_E015,"比較の構図はself_vs_friend / 嫉妬の構造はゼロサムゲーム型、承認競争型 / 状況はworkplace, romantic_relationship, friendship / 嫉妬対象は承認・評価、能力。この条件に合うエピソードはどれ？",comparison
Q0027_distance_effort,A16030_E015,"心理的距離は近（家族・友人・同僚） / 状況はworkplace, romantic_relationship, friendship / 努力介入は可能（努力で変えられる） / 根源は関係的嫉妬。この条件に合うエピソードはどれ？",distance_effort
Q0027_behavior,A16030_E015,"嫉妬の構造はゼロサムゲーム型、承認競争型 / 状況はworkplace, romantic_relationship, friendship / 行動パターンは攻撃・模倣型 / 比較の構図はself_vs_friend。この条件に合うエピソードはどれ？",behavior
Q0028_shorttext,A17709_E009,SNSを眺めては、東京だったらもっと書く仕事もあるはずなのに。もっとイベントに呼ばれるかもしれないの... この状況に近いエピソードはどれ？,shorttext
Q0028_comparison,A17709_E009,"比較の構図はself_vs_other / 状況はworkplace, social_media, creative_activity / 嫉妬対象は容姿 / 嫉妬の構造は美人資本型。この条件に合うエピソードはどれ？",comparison
Q0028_distance_effort,A17709_E009,"心理的距離は中（知り合い・同業者） / 状況はworkplace, social_media, creative_activity / 根源は関係的嫉妬 / 努力介入は可能（努力で変えられる）。この条件に合うエピソードはどれ？",distance_effort
Q0028_behavior,A17709_E009,"嫉妬の構造は美人資本型 / 比較の構図はself_vs_other / 行動パターンは内省・葛藤型 / 状況はworkplace, social_media, creative_activity。この条件に合うエピソードはどれ？",behavior
Q0029_shorttext,A17458_E021,努力していないはず、どこかに欠点があるはずと粗探しをし、引きずりおろそうとしてしまう。 この状況に近いエピソードはどれ？,shorttext
Q0029_comparison,A17458_E021,嫉妬の構造はゼロサムゲーム型 / 状況はgeneral / 嫉妬対象は他者の優位性 / 比較の構図はself_vs_other。この条件に合うエピソードはどれ？,comparison
Q0029_distance_effort,A17458_E021,心理的距離は中（知り合い・同業者） / 根源は根源的嫉妬 / 状況はgeneral / 努力介入は可能（努力で変えられる）。この条件に合うエピソードはどれ？,distance_effort
Q0029_behavior,A17458_E021,嫉妬の構造はゼロサムゲーム型 / 行動パターンは昇華型 / 比較の構図はself_vs_other / 状況はgeneral。この条件に合うエピソードはどれ？,behavior
Q0030_shorttext,A16030_E009,私は嫉妬に取り憑かれている。朝起きて一番最初にすることが、SNSを見て誰かに嫉妬をすることだなんて我... この状況に近いエピソードはどれ？,shorttext
Q0030_comparison,A16030_E009,"比較の構図はself_vs_other / 嫉妬対象は承認・評価、愛情 / 状況はsocial_media, romantic_relationship / 嫉妬の構造はゼロサムゲーム型、承認競争型。この条件に合うエピソードはどれ？",comparison
Q0030_distance_effort,A16030_E009,"努力介入は可能（努力で変えられる） / 状況はsocial_media, romantic_relationship / 心理的距離は中（知り合い・同業者） / 根源は関係的嫉妬。この条件に合うエピソードはどれ？",distance_effort
Q0030_behavior,A16030_E009,"行動パターンは内省・葛藤型 / 嫉妬の構造はゼロサムゲーム型、承認競争型 / 状況はsocial_media, romantic_relationship / 比較の構図はself_vs_other。この条件に合うエピソードはどれ？",behavior
Q0031_shorttext,A18808_E005,幸せそうな他人を見ると、自分と比べて嫉妬をしてしまう。 この状況に近いエピソードはどれ？,shorttext
Q0031_comparison,A18808_E005,嫉妬の構造はゼロサムゲーム型 / 比較の構図はself_vs_other / 嫉妬対象は承認・評価 / 状況はcreative_activity。この条件に合うエピソードはどれ？,comparison
Q0031_distance_effort,A18808_E005,努力介入は可能（努力で変えられる） / 状況はcreative_activity / 根源は関係的嫉妬 / 心理的距離は遠（有名人・概念）。この条件に合うエピソードはどれ？,distance_effort
Q0031_behavior,A18808_E005,行動パターンは内省・葛藤型 / 状況はcreative_activity / 比較の構図はself_vs_other / 嫉妬の構造はゼロサムゲーム型。この条件に合うエピソードはどれ？,behavior
Q0032_shorttext,A18808_E011,「あいつだけいい思いしやがって」と村八分にされる、独特のジメジメ感がある。 この状況に近いエピソードはどれ？,shorttext
Q0032_comparison,A18808_E011,状況はcreative_activity / 嫉妬の構造はその他 / 比較の構図はself_vs_other / 嫉妬対象は承認・評価。この条件に合うエピソードはどれ？,comparison
Q0032_distance_effort,A18808_E011,努力介入は可能（努力で変えられる） / 根源は関係的嫉妬 / 状況はcreative_activity / 心理的距離は中（知り合い・同業者）。この条件に合うエピソードはどれ？,distance_effort
Q0032_behavior,A18808_E011,比較の構図はself_vs_other / 嫉妬の構造はその他 / 行動パターンは攻撃・模倣型 / 状況はcreative_activity。この条件に合うエピソードはどれ？,behavior
Q0033_shorttext,A16700_E004,歌はめっちゃうまい。でも和泉はけしからん この状況に近いエピソードはどれ？,shorttext
Q0033_comparison,A16700_E004,比較の構図はself_vs_other / 嫉妬対象は承認・評価、能力 / 嫉妬の構造は愛情独占型 / 状況はcreative_activity。この条件に合うエピソードはどれ？,comparison
Q0033_distance_effort,A16700_E004,努力介入は可能（努力で変えられる） / 状況はcreative_activity / 根源は根源的嫉妬 / 心理的距離は中（知り合い・同業者）。この条件に合うエピソードはどれ？,distance_effort
Q0033_behavior,A16700_E004,比較の構図はself_vs_other / 状況はcreative_activity / 行動パターンは攻撃・模倣型 / 嫉妬の構造は愛情独占型。この条件に合うエピソードはどれ？,behavior
Q0034_shorttext,A18023_E006,実際、私も「愛知って名古屋の中心部以外は田舎だよ」と自虐しているくせに、他人に「遊びに行っても何もな... この状況に近いエピソードはどれ？,shorttext
Q0034_comparison,A18023_E006,比較の構図はself_vs_other / 状況はgeneral / 嫉妬の構造はその他 / 嫉妬対象は愛情。この条件に合うエピソードはどれ？,comparison
Q0034_distance_effort,A18023_E006,状況はgeneral / 根源は根源的嫉妬 / 心理的距離は遠（有名人・概念） / 努力介入は可能（努力で変えられる）。この条件に合うエピソードはどれ？,distance_effort
Q0034_behavior,A18023_E006,状況はgeneral / 嫉妬の構造はその他 / 行動パターンは内省・葛藤型 / 比較の構図はself_vs_other。この条件に合うエピソードはどれ？,behavior
Q0035_shorttext,A16276_E022,ヤキモキさせられた仕返しに私もLINEを何時間か無視してやろうと意気込むけれど、実際にLINEがくる... この状況に近いエピソードはどれ？,shorttext
Q0035_comparison,A16276_E022,嫉妬対象は愛情 / 状況はsocial_media / 嫉妬の構造はその他 / 比較の構図はself_vs_other。この条件に合うエピソードはどれ？,comparison
Q0035_distance_effort,A16276_E022,根源は根源的嫉妬 / 状況はsocial_media / 努力介入は可能（努力で変えられる） / 心理的距離は中（知り合い・同業者）。この条件に合うエピソードはどれ？,distance_effort
Q0035_behavior,A16276_E022,嫉妬の構造はその他 / 状況はsocial_media / 行動パターンは抑制型 / 比較の構図はself_vs_other。この条件に合うエピソードはどれ？,behavior
Q0036_shorttext,A16840_E026,東出昌大さんみたいに、山でこもって料理をする人はおそらく嫉妬心もないだろうし、比較することもないでし... この状況に近いエピソードはどれ？,shorttext
Q0036_comparison,A16840_E026,状況はcreative_activity / 嫉妬の構造はその他 / 比較の構図はself_vs_other / 嫉妬対象は承認・評価。この条件に合うエピソードはどれ？,comparison
Q0036_distance_effort,A16840_E026,心理的距離は中（知り合い・同業者） / 努力介入は可能（努力で変えられる） / 根源は関係的嫉妬 / 状況はcreative_activity。この条件に合うエピソードはどれ？,distance_effort
Q0036_behavior,A16840_E026,行動パターンは内省・葛藤型 / 嫉妬の構造はその他 / 状況はcreative_activity / 比較の構図はself_vs_other。この条件に合うエピソードはどれ？,behavior
Q0037_shorttext,A16840_E019,僕らは氷河期世代の出口あたりで、若い人たちが売り手市場でひょいっといい就職をすると「えー」と思ってし... この状況に近いエピソードはどれ？,shorttext
